Cell ID,Mean X,Mean Y,Area,Width,Height,Perimeter,Roundness,Mean,Standard Deviation,Smoothness,Uniformity
1,19.974,365.184,758.5,[37],[36],136.527,0.511,146.328,25.836,25.836,0.963
1,200.5,225.5,583.5,[29],[25],93.355,0.841,118.727,10.658,10.658,0.914
1,484.333,195.205,579.5,[34],[23],101.698,0.704,126.898,16.758,16.758,0.944
1,91.186,373.488,577.5,[27],[26],93.698,0.827,125.638,14.153,14.153,0.934
1,65.724,405.207,563.0,[23],[29],92.284,0.831,125.629,14.407,14.407,0.935
1,335.641,86.077,551.0,[22],[31],93.113,0.799,128.163,15.275,15.275,0.939
1,201.562,338.219,516.5,[28],[21],86.87,0.86,132.298,16.961,16.961,0.944
1,103.742,493.968,508.5,[28],[22],88.87,0.809,128.342,17.511,17.511,0.946
1,412.182,148.727,502.0,[22],[27],86.284,0.847,121.769,11.525,11.525,0.92
1,159.423,490.577,487.5,[19],[30],86.87,0.812,140.072,20.215,20.215,0.953
1,275.9,217.967,484.5,[28],[24],89.355,0.763,121.792,10.482,10.482,0.913
1,131.194,400.917,482.5,[22],[30],90.527,0.74,133.456,17.376,17.376,0.946
1,409.697,71.848,481.5,[28],[21],85.698,0.824,125.779,15.168,15.168,0.938
1,148.917,444.0,478.0,[23],[27],87.113,0.792,135.193,18.57,18.57,0.949
1,359.5,131.115,473.5,[22],[25],81.698,0.891,138.168,19.244,19.244,0.951
